Ukrajina,122,4,15,8,0,0,122,4,15,10,0,0,www.pomocukrajine.com,Prispet 1000 Kc,0,1,tag,2,,,
Navsteva,122,4,28,16,30,0,122,4,28,16,30,5,Stodulky,Navsteva bracha,3,Petr,Karel,Božena,0,0,
Doktor,122,4,29,8,45,30,122,4,29,9,50,30,Letna,Koleno zcekovaat,0,0,0,,,,
Manzelky,122,4,29,22,30,0,122,4,29,23,30,45,Doma,Uspokojit,2,Jana,Ivana,2,fun,dirty,1
Holic,122,4,29,11,0,0,122,4,29,13,25,12,Strahov,Novej cut g,1,Chabr,0,3,,,
Hygiena,122,5,1,7,30,45,122,5,1,14,30,45,Doma,Vycistit zuby atd,0,1,brush,1,,,
Posilka,122,5,3,15,0,0,122,5,3,16,0,0,Mustek,Bricho na leto jak blazen,2,Pavlos,Jirkos,0,2,,
Golf,122,5,5,8,30,15,122,5,5,12,30,15,Praha 3,Golf timeee,1,Babi,2,golf,stick,2,
Report,122,3,24,10,0,0,122,3,24,17,0,0,Prace,Report v praci,0,0,3,,,,
Babi,122,3,17,16,0,0,122,3,17,16,30,0,NDLka,Popovidat s dedou,1,Jarmila,0,3,,,
Kontrola,122,0,23,20,30,0,122,0,23,22,30,0,Doma,Investicniho portofolia,0,1,check,3,,,
Kontrola,122,0,30,9,0,0,122,0,30,16,0,0,Doma,Kontrola pojistek,0,0,3,,,,
Pritelkyne,123,8,24,6,0,0,123,8,24,8,0,0,Tam kde jde,Neotravovat,1,Tereza,0,3,,,
Kytka,122,5,12,15,30,0,122,5,12,18,30,0,Doma,Koupit kytka zena,0,2,flower,nice,3,,
Kapesne,122,5,19,12,0,0,122,5,19,13,0,0,Doma,Kapesne tata,0,0,3,,,,
Zavolat,122,5,26,15,15,0,122,5,26,15,45,0,Praha Brno,Zavolat babi a deda,2,Jarmila,Karla,0,3,,
Prasek,122,5,24,8,30,0,122,5,24,8,30,30,Doma,Prasek na klouby,0,0,3,,,,
Zahrada,122,4,1,11,45,0,122,4,1,13,45,0,Doma,Vytrhat plevel,1,Petr,0,4,,,
Nakoupit,122,4,8,16,15,25,122,4,8,17,15,25,Kruhac,Lidl,0,1,tlacenka,4,,,
Uklid,122,4,15,10,45,30,122,4,15,12,45,30,Doma,Vyluxovat,0,1,prase,4,,,
